id_duplicado;quantidade
221802;11
763351;10
643834;10
886880;10
885806;9
508072;9
151663;9
168368;8
161578;8
229252;8
885194;8
222139;8
170707;8
137252;7
175338;7
227519;7
233058;7
137372;7
122845;7
180929;7
213273;7
138795;7
200473;7
182208;7
889855;6
513786;6
119000;6
163791;6
224275;6
157756;6
154456;6
224200;6
125981;6
841824;6
170162;6
224449;6
200800;6
232060;6
690968;6
648453;6
180091;6
141111;6
894112;6
308600;6
227308;6
837357;6
217691;6
180881;6
831918;6
145220;6
205266;6
175358;6
113690;6
163208;6
320178;6
207859;6
483084;6
882861;6
128544;6
109208;6
110726;6
723525;6
893133;6
147615;6
168687;6
893102;6
892363;6
118579;6
160210;6
207066;6
271669;6
118955;6
215167;6
639907;6
217163;6
219677;6
177024;6
185543;6
198199;6
196533;6
136273;6
173248;6
219476;6
193072;6
839727;6
883727;6
887077;6
182745;6
184773;6
891306;6
216882;6
160415;6
218198;5
207784;5
140968;5
173988;5
895342;5
191466;5
214019;5
230730;5
172945;5
134016;5
118662;5
196247;5
158551;5
166401;5
846137;5
106614;5
159834;5
176177;5
133860;5
181460;5
211403;5
155337;5
195361;5
229830;5
193882;5
193298;5
139408;5
226623;5
841819;5
154350;5
224022;5
129314;5
173161;5
176391;5
121431;5
129650;5
162852;5
140459;5
156321;5
152320;5
149477;5
127538;5
134129;5
116198;5
130735;5
202854;5
202689;5
135236;5
212990;5
233623;5
208989;5
114575;5
173289;5
214103;5
191798;5
165820;5
224251;5
197958;5
130839;5
109949;5
118307;5
126305;5
217577;5
185338;5
170675;5
209777;5
174566;5
194992;5
108121;5
140915;5
150205;5
192394;5
224677;5
185486;5
131170;5
131484;5
185015;5
199115;5
185901;5
201517;5
108854;5
216729;5
176823;5
199108;5
130923;5
190454;5
196278;5
152612;5
212996;5
170984;5
120997;5
195110;5
174462;5
132463;5
170840;5
223882;5
152708;5
887554;5
123370;5
212291;5
211138;5
216471;5
140799;5
172830;5
200604;5
145576;5
